Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,
11/07/2018 3:00,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Ryougi Shiki",Orion,Artoria Pendragon [Lancer],,Zhuge Liang [El-Melloi II],,,,Jeanne D'arc [Alter],More than 1 year,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:00,Paid Gacha Only,,,,,,,,,,,,,,,,,,,Jack the Ripper,,,Jeanne D'arc [Alter],Between 6 and 12 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:00,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,,,Xuanzang,Jack the Ripper,Vlad III,,Jeanne D'arc [Alter],Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:00,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride]",Orion,Scathach,,Tamamo-no-mae,Jack the Ripper,"Sakata Kintoki, Vlad III, Cu Chulainn [Alter]",Amakusa Shirou,,More than 1 year,12,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:00,F2P,Altera,,,,,,,,,Between 6 and 12 months,1,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:01,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Mordred",Orion,Karna,,"Tamamo-no-mae, Xuanzang",Jack the Ripper,Florence Nightingale,,,Between 6 and 12 months,9,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:01,F2P,,,,,,,,,,Between 1 and 3 months,0,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:01,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,,Scathach,"Francis Drake, Iskandar",Tamamo-no-mae,Shuten Douji,"Cu Chulainn [Alter], Minamoto no Raikō",,,Between 3 and 6 months,15,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:01,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,,,,,,,,,Between 1 and 3 months,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:01,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,"Scathach, Karna, Brynhildr",Queen Medb,Leonardo Da Vinci,"Jack the Ripper, MHX, Shuten Douji","Vlad III, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,18,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:01,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Gilgamesh,Karna,Ozymandias,Xuanzang,,,,Jeanne D'arc [Alter],More than 1 year,7,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:01,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,Gilgamesh,Scathach,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Jack the Ripper,"Vlad III, Minamoto no Raikō",,Jeanne D'arc [Alter],More than 1 year,9,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:01,F2P,,,,,,,,,Extra Option: Angra Mainyu,,8,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:01,F2P,,Gilgamesh,,Ozymandias,,MHX,,,Edmond Dantes,Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:01,Paid Gacha Only,,,,,,,,,,,,,,,,,Francis Drake,,,Cu Chulainn [Alter],Amakusa Shirou,Jeanne D'arc [Alter],Between 3 and 6 months,4,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:02,F2P,,,,,,Jack the Ripper,,,,Less than 1 month,1,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:02,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred",Gilgamesh,,Ozymandias,Tamamo-no-mae,,"Vlad III, Minamoto no Raikō",,,Between 6 and 12 months,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:02,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,,,Xuanzang,Jack the Ripper,Vlad III,,Jeanne D'arc [Alter],Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:02,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Mordred",Nikola Tesla,,Ozymandias,,,,Jeanne D'arc,,More than 1 year,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:02,Paid Gacha Only,,,,,,,,,,,,,,,"Orion, Arjuna",,"Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae",,,,,More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:02,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Orion",Scathach,"Francis Drake, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci","Jack the Ripper, MHX","Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō","Jeanne D'arc, Amakusa Shirou","Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,24,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:03,Paid Gacha Only,,,,,,,,,,,,,,Altera,Nikola Tesla,Scathach,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,13,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:03,Paid Gacha Only,,,,,,,,,,,,,,,,,Ozymandias,Xuanzang,MHX,,,,Between 3 and 6 months,4,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:03,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Orion,Scathach,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Shuten Douji,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,11,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:03,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Mordred",Orion,Scathach,Francis Drake,,MHX,Vlad III,Amakusa Shirou,"Edmond Dantes, Extra Option: Angra Mainyu",Between 6 and 12 months,12,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:03,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred",Gilgamesh,,Ozymandias,"Tamamo-no-mae, Xuanzang",Shuten Douji,Vlad III,Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,12,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:03,Paid Gacha Only,,,,,,,,,,,,,,Okita Souji,,Karna,"Iskandar, Ozymandias",Zhuge Liang [El-Melloi II],,,Jeanne D'arc,,More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:04,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,Gilgamesh,,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae","Jack the Ripper, MHX","Sakata Kintoki, Minamoto no Raikō",,,More than 1 year,9,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:04,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Okita Souji,Orion,,"Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Jack the Ripper,"Sakata Kintoki, Vlad III, Florence Nightingale",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,14,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:04,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,Orion,,,Xuanzang,Jack the Ripper,"Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,9,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:04,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,"Orion, Nikola Tesla",Karna,,Zhuge Liang [El-Melloi II],,"Vlad III, Minamoto no Raikō",,,Between 6 and 12 months,9,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:04,Paid Gacha Only,,,,,,,,,,,,,,Okita Souji,,,,,,,,,More than 1 year,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:05,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",,,,Jeanne D'arc [Alter],Between 6 and 12 months,8,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:05,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,"Scathach, Karna, Brynhildr",Queen Medb,Leonardo Da Vinci,"Jack the Ripper, MHX, Shuten Douji","Vlad III, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,18,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:05,F2P,,,,,Zhuge Liang [El-Melloi II],,,,,Between 6 and 12 months,1,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:05,F2P,"Altera, Mordred",,Karna,,,,,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,7,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:05,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,Florence Nightingale,,,Between 6 and 12 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:05,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji",,,Francis Drake,"Zhuge Liang [El-Melloi II], Xuanzang",MHX,,"Jeanne D'arc, Amakusa Shirou",Extra Option: Angra Mainyu,More than 1 year,10,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:05,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Nero Claudius [Bride]",,"Scathach, Karna",Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",,"Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",Amakusa Shirou,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,18,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:05,F2P,"Altera, Okita Souji",,,,,MHX,Vlad III,Jeanne D'arc,,More than 1 year,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:06,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Okita Souji,Orion,Brynhildr,"Francis Drake, Ozymandias",Xuanzang,,"Vlad III, Minamoto no Raikō",,,Between 6 and 12 months,9,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:06,F2P,Okita Souji,"Orion, Nikola Tesla",,,Tamamo-no-mae,,Minamoto no Raikō,,Jeanne D'arc [Alter],Between 6 and 12 months,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:06,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",Orion,Brynhildr,"Queen Medb, Ozymandias",Tamamo-no-mae,Jack the Ripper,"Sakata Kintoki, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",,Jeanne D'arc [Alter],Between 6 and 12 months,16,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:06,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Okita Souji,,,"Francis Drake, Ozymandias",Zhuge Liang [El-Melloi II],Jack the Ripper,Cu Chulainn [Alter],Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,13,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:06,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Orion, Nikola Tesla","Scathach, Karna",Ozymandias,"Zhuge Liang [El-Melloi II], Xuanzang, Leonardo Da Vinci","Jack the Ripper, Shuten Douji","Sakata Kintoki, Vlad III, Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,38,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:06,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera","Gilgamesh, Nikola Tesla",Brynhildr,Iskandar,,Jack the Ripper,Cu Chulainn [Alter],,,More than 1 year,8,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:06,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,Orion,"Scathach, Karna",,Zhuge Liang [El-Melloi II],,Vlad III,Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,9,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:06,F2P,,,,,,,Minamoto no Raikō,,,Between 6 and 12 months,1,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:07,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Okita Souji,,,,Zhuge Liang [El-Melloi II],Jack the Ripper,,,Jeanne D'arc [Alter],More than 1 year,4,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:07,F2P,,,,,,,Minamoto no Raikō,,,Less than 1 month,1,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:07,Paid Gacha Only,,,,,,,,,,,,,,,"Orion, Nikola Tesla",,Ozymandias,Tamamo-no-mae,Shuten Douji,,,Extra Option: Angra Mainyu,More than 1 year,8,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:08,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Orion,,Ozymandias,Zhuge Liang [El-Melloi II],,"Vlad III, Cu Chulainn [Alter]",Jeanne D'arc,Extra Option: Angra Mainyu,More than 1 year,11,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:08,F2P,,,,,,,Cu Chulainn [Alter],,,Between 1 and 3 months,,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:08,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikola Tesla,,Francis Drake,,Shuten Douji,"Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:08,Paid Gacha Only,,,,,,,,,,,,,,,,,Queen Medb,,,,,,Between 1 and 3 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:08,F2P,"Artoria Pendragon, Mordred",,,,Tamamo-no-mae,"Jack the Ripper, Shuten Douji","Florence Nightingale, Minamoto no Raikō",,,More than 1 year,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:08,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Nikola Tesla,,,Tamamo-no-mae,,Vlad III,,,More than 1 year,6,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:08,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",Orion,,Francis Drake,Tamamo-no-mae,"Jack the Ripper, Shuten Douji","Vlad III, Florence Nightingale",,,More than 1 year,10,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:09,F2P,Altera,Orion,Karna,Iskandar,"Zhuge Liang [El-Melloi II], Xuanzang",,"Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",,,More than 1 year,10,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:09,Paid Gacha Only,,,,,,,,,,,,,,,Arjuna,,"Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Leonardo Da Vinci",,,,,Between 6 and 12 months,6,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:10,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,Scathach,Iskandar,Zhuge Liang [El-Melloi II],,,,Extra Option: Angra Mainyu,More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:10,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred","Nikola Tesla, Arjuna",Scathach,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Shuten Douji,"Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,21,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:10,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okita Souji, Nero Claudius [Bride]",,,Ozymandias,Zhuge Liang [El-Melloi II],"Jack the Ripper, Shuten Douji",,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,8,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:10,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zhuge Liang [El-Melloi II], Xuanzang",,Vlad III,Amakusa Shirou,,Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:10,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilgamesh,,Francis Drake,Zhuge Liang [El-Melloi II],Jack the Ripper,"Vlad III, Cu Chulainn [Alter]",,Extra Option: Angra Mainyu,Between 6 and 12 months,6,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:10,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Okita Souji, Mordred, Ryougi Shiki",,,,Zhuge Liang [El-Melloi II],,Vlad III,Jeanne D'arc,,More than 1 year,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:10,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,Orion,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,"Sakata Kintoki, Vlad III, Florence Nightingale, Minamoto no Raikō",,Jeanne D'arc [Alter],Between 6 and 12 months,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:10,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,,,,,Florence Nightingale,,,Between 1 and 3 months,,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:11,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Nikola Tesla,,Francis Drake,Tamamo-no-mae,,"Vlad III, Florence Nightingale",Amakusa Shirou,,More than 1 year,8,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:11,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mordred, Nero Claudius [Bride]",,,,"Zhuge Liang [El-Melloi II], Xuanzang",,,"Jeanne D'arc, Amakusa Shirou","Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:11,Paid Gacha Only,,,,,,,,,,,,,,Altera,,,Ozymandias,Leonardo Da Vinci,Jack the Ripper,,,,Less than 1 month,5,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:11,F2P,,,Karna,Francis Drake,Zhuge Liang [El-Melloi II],,,,,Between 6 and 12 months,4,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:11,F2P,,,Scathach,,,,Minamoto no Raikō,,Jeanne D'arc [Alter],Between 6 and 12 months,4,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:11,F2P,,,Scathach,,Zhuge Liang [El-Melloi II],,Vlad III,,Extra Option: Angra Mainyu,More than 1 year,4,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 3:11,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,Gilgamesh,Brynhildr,"Francis Drake, Ozymandias",Tamamo-no-mae,Jack the Ripper,"Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,12,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
